,start,end,text
129,619.8,622.7,"[u'missis', u'gump', u'geht', u'neugierig', u'zu', u'einer', u'geschlossenen', u'zimmertuer']"
130,624.2,629.5,"[u's', u'forrest', u'schwingt', u'mit', u'gebeugten', u'knien', u'die', u'hueften', u'und', u'haelt', u'sich', u'an', u'einem', u'besen', u'fest', u'der', u'gitarrist', u'hat', u'eine', u'tolle']"
131,632.76,636.548,"['forrest', 'ich', 'sagte', 'doch', 'du', 'sollst', 'den', 'jungen', 'mann', 'nicht', 'st\xf6ren']"
132,636.64,638.119,"['nein', 'ist', 'schon', 'gut', 'madam']"
133,638.2,641.476,"['ich', 'zeigte', 'ihm', 'ein', 'paar', 'griffe', 'auf', 'der', 'gitarre']"
134,641.56,644.358,"['ok', 'abendessen', 'ist', 'fertig', 'wenn', 'sie', 'wollen']"
135,644.44,647.238,"['ja', 'h\xf6rt', 'sich', 'gut', 'an', 'danke', 'madam']"
136,645.6,646.2,"[u'sie', u'geht']"
137,647.32,652.553,"['zeig', 'mir', 'den', 'verr\xfcckten', 'tanz', 'von', 'vorhin', 'noch', 'mal', 'aber', 'langsamer']"
138,654.48,658.519,"['mir', 'gefiel', 'die', 'gitarre', 'h\xf6rte', 'sich', 'gut', 'an']"
139,659.72,666.193,"['ich', 'fing', 'an', 'mich', 'zur', 'musik', 'zu', 'bewegen', 'kreiste', 'meine', 'h\xfcften']"
140,668.28,671.829,"['eines', 'abends', 'mama', 'und', 'ich', 'waren', 'einkaufen']"
141,671.92,675.071,"['gingen', 'wir', 'am', 'm\xf6bel', 'und', 'haushalts', 'laden', 'vorbei', 'und', 'was', 'war', 'da']"
142,675.5,677.1,"[u's', u'im', u'fernsehen', u'elvis', u'presley']"
143,683.8,687.0,"[u'er', u'tanzt', u'wie', u'forrest', u'dabei', u'schwingt', u'er', u'lasziv', u'die', u'hueften']"
144,687.84,690.593,"['das', 'ist', 'nichts', 'f\xfcr', 'kinder']"
145,690.0,693.0,"[u'sie', u'geht', u'forrest', u'sieht', u'weiter', u'fasziniert', u'zu', u'elvis']"
146,692.84,696.958,"['ein', 'paar', 'jahre', 'sp\xe4ter', 'war', 'der', 'gut', 'aussehende', 'mann', 'den', 'man', 'king', 'nannte']"
147,697.04,699.793,"['na', 'ja', 'er', 'hatte', 'zu', 'viele', 'songs', 'gesungen']"
148,699.88,702.758,"['hatte', 'einen', 'herzinfarkt', 'oder', 'so', 'was']"
149,702.4,703.4,"[u's', u'an', u'der', u'haltestelle']"
150,702.84,705.673,"['king', 'sein', 'muss', 'schwer', 'sein']"
151,706.2,708.5,"[u'die', u'krankenschwester', u'sieht', u'wieder', u'in', u'ihre', u'zeitschrift']"
152,709.08,711.64,"['komisch', 'dass', 'man', 'sich', 'manche', 'dinge', 'merkt', 'und', 'andere', 'gar', 'nicht']"
153,713.24,718.03,"['du', 'gibst', 'dir', 'aber', 'm\xfche', 'forrest', 'das', 'mache', 'ich', 'mama']"
154,717.0,718.6,"[u'an', u'einer', u'strasse', u'haelt', u'ein', u'schulbus']"
155,718.12,722.875,"['ich', 'erinnere', 'mich', 'noch', 'gut', 'an', 'die', 'busfahrt', 'am', 'ersten', 'schultag']"
156,723.9,726.0,"[u's', u'die', u'rauchende', u'busfahrerin', u'sieht', u'forrest', u'an']"
157,725.8,727.631,"['steigst', 'du', 'ein']"
158,727.72,731.03,"['mama', 'sagt', 'ich', 'darf', 'nicht', 'mit', 'fremden', 'mitfahren']"
159,731.12,733.031,"['das', 'hier', 'ist', 'der', 'schulbus']"
160,733.2,735.5,"[u'forrest', u'bleibt', u'unschluessig', u'vor', u'der', u'tuer', u'stehen']"
161,735.92,740.869,"['ich', 'bin', 'forrest', 'gump', 'ich', 'bin', 'dorothy', 'harris']"
162,740.96,743.11,"['also', 'jetzt', 'sind', 'wir', 'keine', 'fremden', 'mehr']"
163,743.9,747.7,"[u'dorothy', u'schmunzelt', u'forrest', u'steigt', u'etwas', u'muehsam', u'mit', u'seinen', u'beinschienen', u'ein']"
164,752.0,755.7,"[u'er', u'geht', u'durch', u'den', u'fast', u'voll', u'besetzten', u'bus', u'und', u'blickt', u'auf', u'zwei', u'jungs', u'in', u'einer', u'bank']"
165,755.68,758.069,"['hier', 'ist', 'kein', 'platz']"
166,759.6,761.431,"['hier', 'sitzt', 'jemand']"
